event_name,gem_level,moves,damage,time_remaining
lost_in_time,0,c00c01c02c10c11c03r10c12c20c21t21r00r01r11c04c30s00c13c31c22c05r02r20c14c06c32c33c23c15c16c24c40s01c50c51t20c52t21r30c07r12c08c60c61c62t61c63c64t60c09c65c66t61c25c67r21t60s02c34t61c35r03c36c17c53t20c26s03s04t60c18t61c19d00c54t60c37c55t11d01t10t21t61c38c70t60t51t20t11t01c71t00t21t10t50t61c72t60t51t20t11t01c73t00t10t50t61c74t60c75c76c77c78d02d03t21d04t11t20c56t51t10c79c57t21c58t11c59t20t61c41t21c42t31t20c39t01c43d05c44t60t21c45t61c46c47c27c48t20t60c49w00,8925574102,-9079
through_the_portal,0,c00c01c02c10t11c03c11r10c12r00c04r01c13c20c21c14c22c23s00r20c05c30c31c15c24c32c33c25c26c27r30c40c41t41c42r21c43c34c28c29s01s02c35c06r11c07s03s04c08c09c16r02c44r03c17r12t40c36c37t41c50c45c46c47t40c60c61c62c63t41c64c65d00c66z00z01c67t10c68t11d01d02d03c70t10c71t11c72c73t10c74c75t11c76c77t40t10c51t11d04c52t10c53t11c54t41c55c56c57c58z02z03z04c48c49d05t10c38c18c78t40c19c39w00,0,-8640000
lost_in_time,1,c00c01c02c10c11c03r10c12c20t21c21r00r01r11c04c30c31s00c13c22c05r20r02c32c33c06c23c14r03c15c16c24c40s01c50c51t20c07c52r30t21c34c08c60t20c61c62t21t61c09c63t60c64c25t20c65t21c66t61c35c36r21t60s02t61r12c26c67t20c17c18s03s04c41c19t60c37t61c38c39t60c53t61c54t60c55t61c42c56c57c43c44d00t60c45c46c47t21d01t20c48c49t21d02c58t61t20c59t51t21d03d04d05c70t11c71c72t20c73t21t10c74t11t20t31c75c76c77t60c78t01c79w00,11235828309,9629
through_the_portal,1,c00c01c02t11c10c03c11c12r10r00c04r01c20c13c21c14c15r20s00c22c05c30c31c23c24c32c33c25c26c27r30c40t10c41t11t41r21c42c34c28c29s01c06c43s02c07c08r02s03s04c09r03t40c35t41c16r11c44c17t40r12c36c37c50c51c52d00c53t10c54t11t41c55t40c56t10c57t11t41d01t40d02t10c58t11c60c61t41c62c63c64c65c66z00t10d03c67t11c68c70t10z01t11c71c72c73c74t10c75t11d04c76c77z02z03z04d05t40c78c45c46c38c18c47t41c48c39c49t40c19w00,0,-8640000
lost_in_time,2,c00c01c02c10c11c03r10c12c20t21c21r00r01r11c04c30c31c13s00c22r20c05r02c32c33c23c06c14c24c15c40c50c51c07c08c09c16r03s01t20c52r30r12t21c60c61t61c62c63c64t20r21t60c65t21c66c25c34t61c35t60c36s02t61c17c26t20c18s03t21s04c19t60c67t20c37t61t21c38t20c53c39c54t60c55t61c27c56c57c58d00t60c59t21t61d01d02d03d04t51d05c41c42c43c44c70t11t20c71c72c73t10c74c75t21c76c77t60t11t20c78t21c79t20t01c45t61t31t21c46t20t60c47c48c49w00,13553305034,27688
through_the_portal,2,c00c01c02t11c10c03c11c12r10r00r01c20c04c13c21c22s00c30c05c31c23c14c32c15c24c25c33c26r20c40t41c41r30r21c27c34c28c29c42s01c06s02c07c08s03s04c09r11r12t40r02t41c43r03c16c17c35c44t40c36c37c50t41c60c61t40c62c63c64t41c65d00c66c67z00z01c68t10d01t11d02d03t10c51c52t11c53c54c55t40c56c57t41c58c70c71c72c73c74c75c76t40t10d04t11t41c77z02z03z04d05t40c78c18c38c19t41c45c46c47c48c39t10c49w00,0,-8640000
other_tower,0,c00c01c02c10c03c11r00r10c12c04r01c13r11c20s00c14c21c30c31c05c06r20c07r12r13c15c16r02r03c32c33c34c40c17c41r04c18c35c36c37s01c22s02c08s03c23c09d00r14c24r21c25c38c50c51c52c53c54c55c56c57c58d01c59d02c42c43c44c45c46c47c48c49c26c27c39s04c28c29c19r22d03w00,368402292017,14383
sid_in_space,0,c00c01c02c10c11c03r10c12r00c13r01r11c04c20c14s00c30c31c21r20c15c16r12c32c33c40c17r02c41c05c06c50d00c51c07s01c52c34c35c18c19r03c36r21r22r04s02c53c54c55c56c57c58s03d01c37c59s04c22d02c42d03c43c44c45c46r13c47c48c49c23c38c39c24c25c26c27c28c29c08c09r30r31w00,5099454037639,1789
happy_time,0,c00c10c11c12c20c13r10c21r00c14c22c23r01r11c30s00c31c01c40c41c42c24r20c15r12c16c17c43c50r02c25c26c60c61r03c51s01c62c18c19d00c32c33c44r30c34c45r21c02c03c46c04c05s02s03s04d01c63c64c06c65c66c35c47c36d02c52c53d03d04c54c55c56c57c67c27c28d05c07c08c09c58c59c48c49c37c38c39c29c68c69w00,5120773502,1969
aqua_adventure,0,c00c01c02c10c03c11r10c12c13r11r00r01c04c14c20s00c21c05c30c31r20c32c33c40c15c16r02r12c17c50c51s01c52c53c54r21c06d00r30c07c60c34d01s02r03c08c18s03s04c09c19c55c70c71c72c73d02d03c56d04c57c58c59d05c35c36c22c23c24c37c38c25c26c27c41c42c43c39c28c61c44c45c29c62c46c47c48c49c63c64c65c66c67c68c69w00,1040483144316,2692
